kind,address,name,type,notes
func,06c9:412c,drive_sound_update,near,every tick: rpm slew; DS:5F2E slots 0x55/0x56/0x58 (simulation spec)
func,06c9:5d00,gfx_video_hook,void(void),empty retf in EGA/Tandy; CGA build restores 3D8h/3D9h
func,06c9:5d01,far_memcpy,"void(u16 soff,u16 sseg,u16 doff,u16 dseg,u16 n)",rep movsb between far buffers
func,06c9:5d1e,wait_key_paused,void(void),pause flag around getkey_wait; no direct callers
func,06c9:5d2e,make_tick_id,char*(void),int 1Ah tick count -> 4 bytes at DS:52C2
func,06c9:5d4e,dos_num_drives,int(void),AH=19h then AH=0Eh; returns logical drive count
func,06c9:5d5b,set_file_hidden,int(char*name),AX=4301h CX=2; 1=error 0=ok
func,06c9:5d74,bios_floppy_count,int(void),int 11h floppy count; minimum 2
func,06c9:5d83,bios_ticks,u16(void),word 0040:006C
func,06c9:5d8d,bios_ticks_since,u16(u16 t0),0040:006C - t0
func,06c9:5d9e,gfx_set_clip,"void(far Desc*,s16 x0,s16 x1,s16 y0,s16 y1)",descriptor clip + live copy if current
func,06c9:5dfb,gfx_set_clip_current,"void(s16 x0,s16 x1,s16 y0,s16 y1)",live copy CS:AF46..AF4C only
func,06c9:5e1c,file_paras,u16(char*name),file size in paragraphs rounded up; fatal %s FILE ERROR
func,06c9:5e8a,unpacked_paras,u16(char*name),u24 at file+1 in paragraphs rounded up
func,06c9:5ef4,find_first,char*(char*spec),AH=4Eh attr 6 DTA DS:5DEE; returns DS:5D88 or 0
func,06c9:5f4e,find_next,char*(void),AH=4Fh; returns DS:5D88 or 0
func,06c9:5f64,herc_init,void(void),Hercules graphics page 1; DS:5E6E=1
func,06c9:5fbc,video_shutdown,void(void),EGA: gfx_shutdown; Hercules: text mode 7
func,06c9:601c,timer_install_drive,void far(void),div 0x2E9C; chain reload 5; BIOS chain countdown 100
func,06c9:603c,timer_install_menu,void far(void),div 0x2E9C; chain forever; no callers
func,06c9:6059,timer_install_div,void far(int div),reload 0x10000/div; chain forever; called with 0x2E9C
