kind,address,name,type,notes
func,06c9:0002,main_view_load,far void(void),"create main buffer 320x92 at (0,19); handles DS:0704, DS:080E"
func,06c9:0083,main_view_free,far void(void),free main buffer
func,06c9:0094,present_main_view,far void(void),"select screen, copy_own(main sprite)"
func,06c9:00aa,project_front,far void(void),front projection pipeline
func,06c9:00c9,dbg_present_and_wait,far void(void),unreferenced debug helper
func,06c9:00e7,draw_front,far void(void),front view into main buffer; fall scroll
func,06c9:0201,snapshot_front,far void(void),per-frame front state and traffic draw list
func,06c9:0338,project_front_rows,near void(void),60-row projection
func,06c9:05f8,build_spans_front,near void(void),per-scanline edge arrays
func,06c9:06c3,interp_span,"near (a,b,dst) CX=n DX=dy ret 6",Bresenham span interpolation; self-modifying step
func,06c9:0746,fix_cut_lines_front,near void(void),cliff/drop-off/tunnel cut fix-ups
func,06c9:088e,clamp_spans,near AX=first BP=end,"clamp 5 span arrays to [0,DS:5348]"
func,06c9:08cb,clamp_edge_front,near AX=x SI=row*2 -> AX,edge clamp against cut lines
func,06c9:0919,draw_sky_front,near void(void),"sky, tunnel mouth rectangles, mountains, clouds"
func,06c9:0b0d,draw_ground_front,near void(void),scanline ground fill
func,06c9:0bb8,draw_tunnel_walls_front,near void(void),tunnel wall lines
func,06c9:0c17,span_fill_to,near AX=end BX=colour DI=row,4-plane span fill; jumps to [DS:0702] when the row is full
func,06c9:0d01,hline,near DX=x0 AX=x1 DI=y BX=colour,draw_line if x0<x1
func,06c9:0d13,draw_front_objects,near void(void),"far-to-near markings, cliffs, tunnels, road objects, scenery, text signs, poles, cars"
func,06c9:1ad6,tunnel_rib_front,near SI=row*2,white tunnel frame lines
func,06c9:1b2c,run_stage,far int(void),stage runner and frame loop; returns (s8)DS:5490
func,06c9:1c8f,stage_load,far void(void),"stage variables, handle tables, cockpit, sim init"
func,06c9:1e31,life_reset,far void(void),per-life reset
func,06c9:1e59,prepare_traffic_lists,far void(void),DAT traffic lists to road pointers; density thinning
func,06c9:1ee2,mirror_load,far void(void),"create mirror buffer 80x17 at (240,8); handles DS:27BE, DS:28C8"
func,06c9:1f60,mirror_free,far void(void),free mirror buffer
func,06c9:1f71,project_mirror,far void(void),mirror projection pipeline
func,06c9:1f90,dbg_wait_key,far void(void),unreferenced
func,06c9:1f99,draw_mirror,far void(void),mirror view; composite into main buffer
func,06c9:2089,snapshot_mirror,far void(void),per-frame mirror state
func,06c9:21c3,project_mirror_rows,near void(void),25-row projection behind the car
func,06c9:2477,build_spans_mirror,near void(void),mirror spans
func,06c9:2542,fix_cut_lines_mirror,near void(void),mirror cut fix-ups
func,06c9:268a,clamp_edge_mirror,near AX=x SI=row*2 -> AX,mirror edge clamp
func,06c9:26d8,draw_sky_mirror,near void(void),mirror sky and mountains
