kind,address,name,type,notes
func,06c9:3f40,sim_stage_start,far void(void),stage reset; look-ahead flag checksum; end fix-up; registers 06c9:6269 and 06c9:403b in the timer list
func,06c9:3ff9,sim_restart_reset,far void(void),per-life reset; calls 5427
func,06c9:403b,sim_timer_routine,far void(void) sets DS,100 Hz timer-list routine; 10 Hz sim tick; 1 Hz clock
func,06c9:412c,sound_tick,near,rpm needle slew; engine/rumble/effect tone divisors DS:5FD8-5FDE
func,06c9:420a,read_input,near,controls; idle quit; hotkeys
func,06c9:4281,decode_controls,near,demo autopilot; automatic transmission; steer/throttle; gear selection
func,06c9:43c3,shift_knob_anim,near,knob animation 6 px/tick; shift completion
func,06c9:4441,clutch_check,"near (CX old rpm, DX new rpm)",downshift lurch -5 mph; grind tone
func,06c9:448a,curve_sum,near,sum of last 8 curve bytes -> DS:30E4; speed -> DS:30E6
func,06c9:44a6,hotkeys,near (AX key),Esc/o/O/d/D via DS:33D6 and DS:33DC
func,06c9:44bf,key_esc,near,run_state = 0xFF
func,06c9:44c5,key_gate_mode,near,gate_mode ^= 1 unless automatic
func,06c9:44d2,key_dash_toggle,near,DS:2F58 ^= 1
func,06c9:44d8,brake_1600,near,speed -= 1600
func,06c9:44de,brake_800,near,speed -= 800 (skid)
func,06c9:44e4,brake_400,near,speed -= 400 (broken gear)
func,06c9:44ea,engine,near,throttle; brake; clutch; torque
func,06c9:4588,free_rev,near,rpm -200 down to 800; or +600 in neutral with throttle
func,06c9:45bf,drag_apply,near (DX force),speed += force - drag
func,06c9:45fc,brake,near (DX amount),speed -= DX floor 0; update_rpm
func,06c9:4612,update_rpm,"near -> CX old, DX new",rpm = ratio*speed>>16 min 800; nothing in neutral
func,06c9:4639,overrev_check,near,30 ticks at redline or above max -> run_state 3
func,06c9:4674,motion,near,"pull-over; sub-unit step; unit loop (spawn, fuel, grip, yaw, collisions, objects)"
func,06c9:4929,obj_station_zone,near,object 0x0A
func,06c9:4947,obj_past_station,near,object 0x0C
