kind,address,name,type,owner,other_names,notes
global,06c9:7ddc,blit_and_clip_ram_tab,u16[8],platform,,RAM AND clipped
global,06c9:80ea,blit_and_ram_tab,u16[8],platform,,RAM AND unclipped
global,06c9:82c8,rect_edge_mask,u8[8],platform,,00 80 C0 E0 F0 F8 FC FE
global,06c9:857a,line_bit_tab,u8[8],platform,,80 40 20 10 08 04 02 01 (8582)
global,06c9:8c78,dissolve4_row_order,u8[12],platform,,0B 05 08 02 0A 04 07 01 09 03 06 00
global,06c9:8c84,dissolve4_masks,u8[4],platform,,11 88 44 22
global,06c9:8eae,dissolve8_row_order,u8[12],platform,,same as CS:8C78
global,06c9:8eba,dissolve8_masks,u8[8],platform,,01 08 40 02 10 80 04 20
global,06c9:9144,bit_index_tab,u8[16],platform,,lowest set bit index
global,06c9:9154,bit_value_tab,u8[16],platform,,lowest set bit value
global,06c9:9164,bit_clear_tab,u8[4],platform,,0E 0D 0B 07
global,06c9:9168,plane_mask_tab,u8[4],platform,,01 02 04 08
global,06c9:9562,blit_copy_clip_ram_tab,u16[8],platform,,RAM REPLACE clipped shift routines
global,06c9:9572,blit_clip_ega_tab,u16[8],platform,,EGA clipped shift routines (REPLACE/OR/AND)
global,06c9:9f9e,blit_copy_ram_tab,u16[8],platform,,RAM REPLACE unclipped
global,06c9:9fae,blit_ega_tab,u16[8],platform,,EGA unclipped (REPLACE/OR/AND)
global,06c9:a738,blit_or_clip_ram_tab,u16[8],platform,,RAM OR clipped
global,06c9:aa32,blit_or_ram_tab,u16[8],platform,,RAM OR unclipped
global,06c9:ac0c,grab_readmap_tab,u8[16],platform,,lowest set bit index
global,06c9:af3a,gfx_cur,u16[13],platform,,live copy of the selected target descriptor
global,06c9:af3c,gfx_cur_planes,u16[4],platform,,plane segments of the live target (A000h = screen)
global,06c9:af44,gfx_cur_rowtab,u16,platform,,near CS ptr to the row table
global,06c9:af46,gfx_cur_clip,s16[4],platform,,clip x0 x1 (bytes) y0 y1
global,06c9:af4e,gfx_cur_stride,u16,platform,,bytes per row
global,06c9:af50,gfx_cur_pad,u16,platform,,plane block padding
global,06c9:af52,gfx_cur_width,u16,platform,,width in pixels
global,06c9:af54,gfx_screen_desc,u16[13],platform,,screen descriptor (A000h x4; rowtab CS:AF6E; 40x200; width 320)
global,06c9:af6e,gfx_screen_rows,u16[200],platform,,y*40
global,06c9:b269,gfx_rowpool_top,u16,platform,,next free byte of the descriptor pool (init CS:B26B; limit CS:BA3B)
global,06c9:b26b,gfx_rowpool,u8[2000],platform,,descriptor + row table pool
global,06c9:bb28,blit_xor_clip_ram_tab,u16[8],platform,,RAM XOR clipped
global,06c9:bb38,blit_xor_clip_ega_tab,u16[8],platform,,EGA XOR clipped
global,06c9:c192,blit_xor_ram_tab,u16[8],platform,,RAM XOR unclipped
global,06c9:c1a2,blit_xor_ega_tab,u16[8],platform,,EGA XOR unclipped
global,06c9:c8fe,cursor_glyph_tab,u16[9],platform,,C910 C910 C928 ...
global,06c9:c910,glyph_cursor_thin,sprite,platform,,1x8 bottom row set
global,06c9:c928,glyph_cursor_thick,sprite,platform,,1x8 two bottom rows set
global,06c9:c97c,line_or_bit_tab,u8[8],platform,,80 40 .. 01 (c984)
func,0000:0000,screen_reveal,int (int mode),game_flow,,page DS:8CA2 to screen; mode 3 = 4-step dissolve; 0/1 interruptible
func,0000:0090,message_box,"int (char *msg, int timed)",game_flow,,box at rows 80..119; returns 0x1B or 0
func,0000:01b0,question_box,"int (int, char *msg)",game_flow,,install y/n box; returns raw key
func,0000:0297,ensure_disk,"int (char *name, int diskType, int mode)",game_flow,,disk prompt + diskid check; sets DS:8644 path; dropped by port
func,0000:0477,check_diskid,"int (int diskType, int stamp)",game_flow,,diskid.dat type/serial check; dropped
func,0000:05c0,read_diskid,int (int drive),game_flow,,disk type in drive or -1; dropped
func,0000:0651,cars_select_by_name,void (void),game_flow,,player/opponent car index from codes
func,0000:0730,scenery_select_by_name,void (void),game_flow,,scenery index from code
func,0000:07b3,main,"void (int argc, char **argv)",game_flow,,startup; intro/menu loop; exit prompt
func,00c0:0004,title_screen,int (void),game_flow,,line-art morph then TESTDRV2 tdri/duel
func,00c0:027a,accolade_screen,int (void),game_flow,,ACCOLADE acc_/pres/copy + bull slide
func,00c0:039c,intro_sequence,int (void),game_flow,,intro screens; 0 = timeout; 0x1B = Esc
func,010c:000e,dsi_logo_screen,int (void),game_flow,,logo morph to DSI lines + DSITITLE
func,010c:0285,credits,int (void),game_flow,,credits text 5 s
