start,image,end,size,far,insns,ncalls,ncallers,ints,sets_ds,strings
0000:0000,00000,0000:0090,144,1,49,4,11,,0,""
0000:0090,00090,0000:01b0,288,1,111,13,13,,0,"Press any key to continue."
0000:01b0,001b0,0000:0297,231,1,89,12,2,,0,""
0000:0297,00297,0000:0477,480,1,185,7,25,,0,"Please insert %s DISK in Drive %c: | Hard disk is a %s DISK. | This disk is a %s DISK."
0000:0477,00477,0000:05c0,329,1,119,9,5,,0,"diskid.dat | %s %s | This disk does not match the master! | Please remove write protect tab | %s %s"
0000:05c0,005c0,0000:0651,145,1,54,5,1,,0,"diskid.dat"
0000:0651,00651,0000:0730,223,1,74,2,2,,0,""
0000:0730,00730,0000:07b3,131,1,48,2,2,,0,""
0000:07b3,007b3,00c0:0000,1101,0,357,45,1,,0,"herc | voices.bin | songs.bin | testdrv2.pcs | Please insert MASTER or PLAY Disk. | Exit to DOS (Y/N)?"
00c0:0004,00c04,00c0:027a,630,1,225,12,1,,0,"testdrv2 | tdri | duel"
00c0:027a,00e7a,00c0:039c,290,1,103,10,1,,0,"accolade | acc_ | pres | copy | bull"
00c0:039c,00f9c,00c0:04bc,288,0,110,9,1,,0,"dsititle | testdrv2 | accolade"
010c:000e,010ce,010c:0285,631,1,233,12,1,,0,"dsititle | sqar | text | arow | type"
010c:0285,01345,010c:036d,232,0,91,3,1,,0," Created by  |  Design and Programming  |  Art  |  Music  | Distinctive Software Inc. | Vancouver B.C. | Amory Wong   Ri"
0143:000a,0143a,0143:019e,404,1,154,9,1,,0,""
0143:019e,015ce,0143:01e1,67,1,23,0,0,,0,""
0143:01e1,01611,0143:05af,974,0,330,21,2,,0,"%d %d %d %s | carS | carM | logo | frm0frm1frm2 | rrm0rrm1rrm2"
019e:0004,019e4,019e:009b,151,1,49,1,2,,0,""
019e:009b,01a7b,019e:02f4,601,1,221,16,1,,0,"testdrv2 | blue | carM | carS | logo | stat"
019e:02f4,01cd4,019e:059e,682,1,250,18,1,,0,"testdrv2 | blue | carM | carS | logo | stat | carS"
019e:059e,01f7e,019e:073c,414,1,148,13,1,,0,"Additional Scenerydisks Available. | %s DISK | icon | picl | Use Keyboard/Joystick to change scenery."
019e:073c,0211c,019e:0cfd,1473,0,511,26,1,,0,"rear | logS | rear | logS | icon | pics | gamediff | gameopt | cloccompycarocarsceninsttxt0txt1arrw"
026e:000a,026ea,026e:001d,19,1,10,0,1,,0,""
026e:001d,026fd,026e:003f,34,1,13,1,3,,0,""
026e:003f,0271f,026e:1191,4434,1,1633,43,1,,0,"gasstuff | gast | carM | carS | You crashed %d time%s. | You blew your engine %d time%s. | You were given %d speeding ti"
026e:1191,03871,026e:122a,153,1,66,2,1,,0," Overall Performance  | Your time:      %d:%02d.%d | Your score:     %ld points"
026e:122a,0390a,026e:13a1,375,1,157,5,1,,0," Section %d  |  %d.%d miles  | Your time:      %d:%02d.%d + %d:%02d penalty | Your avg speed: %ld mph | Your score:     "
026e:13a1,03a81,026e:15ea,585,1,195,12,1,,0,"gamediff | tex0 | tex1 | scal | sca2 | arrw | ARRW"
026e:15ea,03cca,026e:1caf,1733,0,606,25,1,,0,"Please wait while loading... | road | dash | .bin | road | o.bin | .dat | %s%c%s | car1 | car2 | car3 | .sgn | %s%c%s | "
0439:000c,0439c,0439:0067,91,1,34,1,4,,0,""
0439:0067,043f7,0439:00af,72,1,29,0,2,,0,""
0439:00af,0443f,0439:01b8,265,1,99,7,3,,0,"cars.dat | Cannot open cars.dat for read. | %s %s"
0439:01b8,04548,0439:02c5,269,1,104,7,3,,0,"scenes.dat | Cannot open scenes.dat for read. | %s %s %d"
0439:02c5,04655,0439:037c,183,1,70,5,1,,0,"select.dat | %d %d %d %s %s %s | P959 | TDS2"
0439:037c,0470c,0439:0415,153,1,60,5,2,,0,"select.dat | select.dat | Cannot open select.dat for write | %d %d %d %s %s %s"
0439:0415,047a5,0439:0447,50,1,19,2,2,,0,""
0439:0447,047d7,0439:04f7,176,1,66,2,1,,0,""
0439:04f7,04887,0439:084d,854,1,317,14,3,,0,"Reading %s | Writing %s"
0439:084d,04bdd,0439:0895,72,1,30,3,1,,0,""
0439:0895,04c25,0439:08f8,99,1,41,5,2,,0,"Deleting %s"
0439:08f8,04c88,0439:0a2e,310,1,118,3,1,,0,""
0439:0a2e,04dbe,0439:0b63,309,1,119,3,1,,0,""
0439:0b63,04ef3,0439:0c0b,168,1,69,3,2,,0,""
0439:0c0b,04f9b,0439:0d2f,292,1,112,11,1,,0,"No Play Disk has been specified. | diskid.dat | cars.dat | scenes.dat | Error while creating data files. | Play Disk suc"
0439:0d2f,050bf,0439:0f6b,572,1,209,13,1,,0,"Cannot open cars.dat | %s %s  | cars.dat"
0439:0f6b,052fb,0439:11a8,573,1,214,13,1,,0,"Cannot open scenes.dat | %s %s %d  | scenes.dat"
0439:11a8,05538,0439:133b,403,1,153,13,1,,0,"Are you sure you want to delete (y/n)? | cars.dat | Cannot open cars.dat | %s %s "
0439:133b,056cb,0439:14d5,410,1,158,13,1,,0,"Are you sure you want to delete (y/n)? | scenes.dat | Cannot open scenes.dat | %s %s %d "
0439:14d5,05865,0439:19d2,1277,1,466,26,1,,0,"No Play Disk has been specified. | C O P Y   C A R S | Press Enter to un/select cars. | Press V to view car at cursor. |"
0439:19d2,05d62,0439:1d1f,845,1,310,12,0,,0,"No Play Disk has been specified. | C O P Y   S C E N E R Y | Press Enter to un/select scenery."
0439:1d1f,060af,0439:1d3e,31,1,8,0,2,,0,""
0439:1d3e,060ce,0439:1e9e,352,1,126,8,2,,0,"Play Disk needs both cars and scenery!"
0439:1e9e,0622e,0439:2114,630,0,243,13,1,,0,"I N S T A L L   M E N U"
064b:000a,064ba,064b:0190,390,1,134,6,3,,0,"hisc.dat"
064b:0190,06640,064b:027b,235,1,86,4,2,,0,"hisc.dat"
064b:027b,0672b,064b:0393,280,1,111,14,1,,0,"rear | logL | You have qualified as one of | THE DUEL: Test Drive II's best drivers. | Enter your name:"
