start,image,end,size,far,insns,ncalls,ncallers,ints,sets_ds,strings
0000:0000,00000,0000:0090,144,1,49,4,11,,0,""
0000:0090,00090,0000:01b0,288,1,111,13,13,,0,"Press any key to continue."
0000:01b0,001b0,0000:0297,231,1,89,12,2,,0,""
0000:0297,00297,0000:0477,480,1,185,7,25,,0,"Please insert %s DISK in Drive %c: | Hard disk is a %s DISK. | This disk is a %s DISK."
0000:0477,00477,0000:05c0,329,1,119,9,5,,0,"diskid.dat | %s %s | This disk does not match the master! | Please remove write protect tab | %s %s"
0000:05c0,005c0,0000:0651,145,1,54,5,1,,0,"diskid.dat"
0000:0651,00651,0000:0730,223,1,74,2,2,,0,""
0000:0730,00730,0000:07b3,131,1,48,2,2,,0,""
0000:07b3,007b3,00c0:0000,1101,0,357,45,1,,0,"herc | voices.bin | songs.bin | testdrv2.pes | Please insert MASTER or PLAY Disk. | Exit to DOS (Y/N)?"
00c0:0004,00c04,00c0:027a,630,1,225,12,1,,0,"testdrv2 | tdri | duel"
00c0:027a,00e7a,00c0:039c,290,1,103,10,1,,0,"accolade | acc_ | pres | copy | bull"
00c0:039c,00f9c,00c0:04bc,288,0,110,9,1,,0,"dsititle | testdrv2 | accolade"
010c:000e,010ce,010c:0285,631,1,233,12,1,,0,"dsititle | sqar | text | arow | type"
010c:0285,01345,010c:036d,232,0,91,3,1,,0," Created by  |  Design and Programming  |  Art  |  Music  | Distinctive Software Inc. | Vancouver B.C. | Amory Wong   Ri"
0143:000a,0143a,0143:019e,404,1,154,9,1,,0,""
0143:019e,015ce,0143:01e1,67,1,23,0,0,,0,""
0143:01e1,01611,0143:05af,974,0,330,21,2,,0,"%d %d %d %s | carS | carM | logo | frm0frm1frm2 | rrm0rrm1rrm2"
019e:0004,019e4,019e:009b,151,1,49,1,2,,0,""
019e:009b,01a7b,019e:027d,482,1,175,14,1,,0,"testdrv2 | blue | carM | carS | logo | stat"
019e:027d,01c5d,019e:0527,682,1,250,18,1,,0,"testdrv2 | blue | carM | carS | logo | stat | carS"
019e:0527,01f07,019e:06c5,414,1,148,13,1,,0,"Additional Scenerydisks Available. | %s DISK | icon | picl | Use Keyboard/Joystick to change scenery."
019e:06c5,020a5,019e:0c8f,1482,0,513,26,1,,0,"rear | logS | rear | logS | icon | pics | gamediff | gameopt | cloccompycarocarsceninsttxt0txt1arrw"
0267:0004,02674,0267:0017,19,1,10,0,1,,0,""
0267:0017,02687,0267:0039,34,1,13,1,3,,0,""
0267:0039,026a9,0267:118b,4434,1,1633,43,1,,0,"gasstuff | gast | carM | carS | You crashed %d time%s. | You blew your engine %d time%s. | You were given %d speeding ti"
0267:118b,037fb,0267:1224,153,1,66,2,1,,0," Overall Performance  | Your time:      %d:%02d.%d | Your score:     %ld points"
0267:1224,03894,0267:139b,375,1,157,5,1,,0," Section %d  |  %d.%d miles  | Your time:      %d:%02d.%d + %d:%02d penalty | Your avg speed: %ld mph | Your score:     "
0267:139b,03a0b,0267:15e4,585,1,195,12,1,,0,"gamediff | tex0 | tex1 | scal | sca2 | arrw | ARRW"
0267:15e4,03c54,0267:1cae,1738,0,608,25,1,,0,"Please wait while loading... | road | dash | .bin | road | o.bin | .dat | %s%c%s | car1 | car2 | car3 | .sgn | %s%c%s | "
0432:0006,04326,0432:0061,91,1,34,1,4,,0,""
0432:0061,04381,0432:00a9,72,1,29,0,2,,0,""
0432:00a9,043c9,0432:01b2,265,1,99,7,3,,0,"cars.dat | Cannot open cars.dat for read. | %s %s"
0432:01b2,044d2,0432:02bf,269,1,104,7,3,,0,"scenes.dat | Cannot open scenes.dat for read. | %s %s %d"
0432:02bf,045df,0432:0376,183,1,70,5,1,,0,"select.dat | %d %d %d %s %s %s | P959 | TDS2"
0432:0376,04696,0432:040f,153,1,60,5,2,,0,"select.dat | select.dat | Cannot open select.dat for write | %d %d %d %s %s %s"
0432:040f,0472f,0432:0441,50,1,19,2,2,,0,""
0432:0441,04761,0432:04f1,176,1,66,2,1,,0,""
0432:04f1,04811,0432:0847,854,1,317,14,3,,0,"Reading %s | Writing %s"
0432:0847,04b67,0432:088f,72,1,30,3,1,,0,""
0432:088f,04baf,0432:08f5,102,1,42,5,2,,0,"Deleting %s"
0432:08f5,04c15,0432:0a2e,313,1,119,3,1,,0,""
0432:0a2e,04d4e,0432:0b66,312,1,120,3,1,,0,""
0432:0b66,04e86,0432:0c0e,168,1,69,3,2,,0,""
0432:0c0e,04f2e,0432:0d35,295,1,113,11,1,,0,"No Play Disk has been specified. | diskid.dat | cars.dat | scenes.dat | Error while creating data files. | Play Disk suc"
0432:0d35,05055,0432:0f71,572,1,209,13,1,,0,"Cannot open cars.dat | %s %s  | cars.dat"
0432:0f71,05291,0432:11ae,573,1,214,13,1,,0,"Cannot open scenes.dat | %s %s %d  | scenes.dat"
0432:11ae,054ce,0432:1341,403,1,153,13,1,,0,"Are you sure you want to delete (y/n)? | cars.dat | Cannot open cars.dat | %s %s "
0432:1341,05661,0432:14db,410,1,158,13,1,,0,"Are you sure you want to delete (y/n)? | scenes.dat | Cannot open scenes.dat | %s %s %d "
0432:14db,057fb,0432:19d8,1277,1,466,26,1,,0,"No Play Disk has been specified. | C O P Y   C A R S | Press Enter to un/select cars. | Press V to view car at cursor. |"
0432:19d8,05cf8,0432:1d25,845,1,310,12,1,,0,"No Play Disk has been specified. | C O P Y   S C E N E R Y | Press Enter to un/select scenery."
0432:1d25,06045,0432:1d44,31,1,8,0,2,,0,""
0432:1d44,06064,0432:1ea4,352,1,126,8,2,,0,"Play Disk needs both cars and scenery!"
0432:1ea4,061c4,0645:0000,652,1,249,14,1,,0,"I N S T A L L   M E N U"
0645:0000,06450,0645:0186,390,1,134,6,3,,0,"hisc.dat"
0645:0186,065d6,0645:0271,235,1,86,4,2,,0,"hisc.dat"
0645:0271,066c1,0645:0389,280,1,111,14,1,,0,"rear | logL | You have qualified as one of | THE DUEL: Test Drive II's best drivers. | Enter your name:"
0645:0389,067d9,0645:0470,231,1,86,3,1,,0,""
