td2_start,td2_image,td1_name,td1_address,score,td2_insns,td1_insns
06c9:5d9e,0ca2e,gfx_set_clip,0x50a1,0.74,37,37
06c9:5f64,0cbf4,herc_init,0x8cec,0.89,40,37
06c9:5fbc,0cc4c,herc_shutdown,0x8d3c,0.79,44,37
06c9:610a,0cd9a,timer_restore,0x694a,0.56,30,30
06c9:642e,0d0be,gfx_shutdown,0x50fe,0.54,17,18
06c9:6686,0d316,joy_read,0xa12f,0.60,142,122
06c9:6a17,0d6a7,gfx_set_text_colours,0x6c85,0.67,8,8
06c9:75c8,0e258,gfx_set_text_colours,0x6c85,0.67,8,8
06c9:75d9,0e269,gfx_set_text_colours,0x6c85,0.67,8,8
06c9:780e,0e49e,rand8,0x8baf,0.83,11,11
06c9:782c,0e4bc,gfx_free_buffer,0x79ff,0.55,25,25
06c9:7a82,0e712,gfx_set_text_colours,0x6c85,0.67,8,8
06c9:7a93,0e723,gfx_set_text_colours,0x6c85,0.67,8,8
06c9:840a,0f09a,gfx_clear_screen,0x4b98,0.64,30,32
06c9:8582,0f212,gfx_draw_line,0x85d5,0.79,428,438
06c9:8a0c,0f69c,gfx_fill_rect,0x4941,0.84,270,266
06c9:8cd8,0f968,gfx_dissolve,0x768b,0.81,158,158
06c9:8f12,0fba2,gfx_dissolve,0x768b,0.72,179,158
06c9:90e8,0fd78,gfx_init_ega,0x4d96,0.68,44,46
06c9:a530,111c0,gfx_draw_text,0x4bd0,1.00,10,10
06c9:a547,111d7,gfx_draw_text_at_cursor,0x4be7,0.96,163,163
06c9:abfa,1188a,gfx_set_palette,0x4d84,0.80,10,10
06c9:ac1c,118ac,grab_into_sprite_hot,0x8bdc,1.00,15,15
06c9:ac40,118d0,grab_into_sprite_raw,0x8c00,0.50,15,13
06c9:ac64,118f4,grab_into_sprite_own,0x8c1e,0.67,74,66
06c9:ad22,119b2,rect_clear_plane_ega,0x98c2,1.00,49,49
06c9:ae62,11af2,gfx_scroll_window,0x91cf,0.87,102,102
06c9:c784,13414,gfx_grab_screen,0x8b08,0.54,74,69
06c9:c984,13614,gfx_draw_line,0x85d5,0.85,437,438
13a8:04be,13f3e,_cinit,0xb165,0.66,82,74
13a8:0582,14002,exit,0xb214,1.00,9,9
13a8:0826,142a6,_setenvp,0xc467,0.98,57,57
13a8:088c,1430c,_NMSG_TEXT,0xbb1a,0.70,26,28
13a8:08b7,14337,_NMSG_WRITE,0xbb4a,0.62,21,21
13a8:08e2,14362,fn_c666,0xc666,0.56,48,29
13a8:094a,143ca,fn_b299,0xb299,1.00,22,22
13a8:0f16,14996,_stbuf,0xae3f,0.57,64,57
13a8:105c,14adc,fflush,0xb2c7,0.83,46,46
13a8:1c00,15680,_output,0xbe03,0.55,117,113
13a8:26a8,16128,malloc,0xa730,0.93,34,33
13a8:26f1,16171,_nmalloc,0xaf67,0.95,106,105
13a8:27d4,16254,_amlink,0xb048,1.00,29,29
13a8:280e,1628e,_amexpand,0xb082,1.00,18,18
13a8:2830,162b0,_amallocbrk,0xb0a4,0.60,20,20
13a8:2852,162d2,sbrk,0xc567,0.98,53,53
13a8:28c0,16340,_growseg,0xc5d5,1.00,39,39
13a8:29d0,16450,itoa,0xbaff,1.00,13,13
13a8:2a18,16498,isatty,0xc644,0.50,15,15
13a8:2e42,168c2,_aNldiv,0xc87a,0.89,75,75
16eb:000a,16eba,res_find_list,0x94c7,0.67,26,26
16eb:004c,16efc,res_find_list,0x94c7,0.67,26,26
16eb:008e,16f3e,res_find_list,0x94c7,0.67,26,26
16eb:00d0,16f80,res_find_list,0x94c7,0.62,24,26
