start,image,end,size,far,insns,ncalls,ncallers,ints,sets_ds,strings
0000:0000,00000,0000:0090,144,1,49,4,11,,0,""
0000:0090,00090,0000:01b0,288,1,111,13,13,,0,"Press any key to continue."
0000:01b0,001b0,0000:0297,231,1,89,12,2,,0,""
0000:0297,00297,0000:0477,480,1,185,7,25,,0,"Please insert %s DISK in Drive %c: | Hard disk is a %s DISK. | This disk is a %s DISK."
0000:0477,00477,0000:05c0,329,1,119,9,5,,0,"diskid.dat | %s %s | This disk does not match the master! | Please remove write protect tab | %s %s"
0000:05c0,005c0,0000:0651,145,1,54,5,1,,0,"diskid.dat"
0000:0651,00651,0000:0730,223,1,74,2,2,,0,""
0000:0730,00730,0000:07b3,131,1,48,2,2,,0,""
0000:07b3,007b3,00c0:0000,1101,0,358,44,1,,0,"herc | voices.bin | songs.bin | testdrv2.pes | Please insert MASTER or PLAY Disk. | Exit to DOS (Y/N)?"
00c0:000c,00c0c,00c0:0282,630,1,225,12,1,,0,"testdrv2 | tdri | duel"
00c0:0282,00e82,00c0:03a4,290,1,103,10,1,,0,"accolade | acc_ | pres | copy | bull"
00c0:03a4,00fa4,00c0:04cf,299,0,113,10,1,,0,"dsititle | testdrv2 | accolade"
010d:0006,010d6,010d:027d,631,1,233,12,1,,0,"dsititle | sqar | text | arow | type"
010d:027d,0134d,0144:0000,243,0,95,4,1,,0," Created by  |  Design and Programming  |  Art  |  Music  | Distinctive Software Inc. | Vancouver B.C. | Amory Wong   Ri"
0144:0002,01442,0144:0196,404,1,154,9,1,,0,""
0144:0196,015d6,0144:01d9,67,1,23,0,0,,0,""
0144:01d9,01619,019e:0000,967,0,327,21,2,,0,"%d %d %d %s | carS | carM | logo | frm0frm1frm2 | rrm0rrm1rrm2"
019e:000c,019ec,019e:00a3,151,1,49,1,2,,0,""
019e:00a3,01a83,019e:02fc,601,1,221,16,1,,0,"testdrv2 | blue | carM | carS | logo | stat"
019e:02fc,01cdc,019e:05a6,682,1,250,18,1,,0,"testdrv2 | blue | carM | carS | logo | stat | carS"
019e:05a6,01f86,019e:0744,414,1,148,13,1,,0,"Additional Scenerydisks Available. | %s DISK | icon | picl | Use Keyboard/Joystick to change scenery."
019e:0744,02124,019e:0cfe,1466,0,508,26,1,,0,"rear | logS | rear | logS | icon | pics | gamediff | gameopt | cloccompycarocarsceninsttxt0txt1arrw"
026e:000e,026ee,026e:0021,19,1,10,0,1,,0,""
026e:0021,02701,026e:0043,34,1,13,1,3,,0,""
026e:0043,02723,026e:1195,4434,1,1633,43,1,,0,"gasstuff | gast | carM | carS | You crashed %d time%s. | You blew your engine %d time%s. | You were given %d speeding ti"
026e:1195,03875,026e:122e,153,1,66,2,1,,0," Overall Performance  | Your time:      %d:%02d.%d | Your score:     %ld points"
026e:122e,0390e,026e:13a5,375,1,157,5,1,,0," Section %d  |  %d.%d miles  | Your time:      %d:%02d.%d + %d:%02d penalty | Your avg speed: %ld mph | Your score:     "
026e:13a5,03a85,026e:15ee,585,1,195,12,1,,0,"gamediff | tex0 | tex1 | scal | sca2 | arrw | ARRW"
026e:15ee,03cce,026e:1cbf,1745,1,612,25,1,,0,"Please wait while loading... | road | dash | .bin | road | o.bin | .dat | %s%c%s | car1 | car2 | car3 | .sgn | %s%c%s | "
043a:0000,043a0,043a:005b,91,1,34,1,4,,0,""
043a:005b,043fb,043a:00a3,72,1,29,0,2,,0,""
043a:00a3,04443,043a:01ac,265,1,99,7,3,,0,"cars.dat | Cannot open cars.dat for read. | %s %s"
043a:01ac,0454c,043a:02b9,269,1,104,7,3,,0,"scenes.dat | Cannot open scenes.dat for read. | %s %s %d"
043a:02b9,04659,043a:0370,183,1,70,5,1,,0,"select.dat | %d %d %d %s %s %s | P959 | TDS2"
043a:0370,04710,043a:0409,153,1,60,5,2,,0,"select.dat | select.dat | Cannot open select.dat for write | %d %d %d %s %s %s"
043a:0409,047a9,043a:043b,50,1,19,2,2,,0,""
043a:043b,047db,043a:04eb,176,1,66,2,1,,0,""
043a:04eb,0488b,043a:0841,854,1,317,14,3,,0,"Reading %s | Writing %s"
043a:0841,04be1,043a:0889,72,1,30,3,1,,0,""
043a:0889,04c29,043a:08ec,99,1,41,5,2,,0,"Deleting %s"
043a:08ec,04c8c,043a:0a22,310,1,118,3,1,,0,""
043a:0a22,04dc2,043a:0b57,309,1,119,3,1,,0,""
043a:0b57,04ef7,043a:0bff,168,1,69,3,2,,0,""
043a:0bff,04f9f,043a:0d23,292,1,112,11,0,,0,"No Play Disk has been specified. | diskid.dat | cars.dat | scenes.dat | Error while creating data files. | Play Disk suc"
043a:0d23,050c3,043a:0f5f,572,1,209,13,1,,0,"Cannot open cars.dat | %s %s  | cars.dat"
043a:0f5f,052ff,043a:119c,573,1,214,13,1,,0,"Cannot open scenes.dat | %s %s %d  | scenes.dat"
043a:119c,0553c,043a:132f,403,1,153,13,1,,0,"Are you sure you want to delete (y/n)? | cars.dat | Cannot open cars.dat | %s %s "
043a:132f,056cf,043a:14c9,410,1,158,13,1,,0,"Are you sure you want to delete (y/n)? | scenes.dat | Cannot open scenes.dat | %s %s %d "
043a:14c9,05869,043a:19c6,1277,1,466,26,0,,0,"No Play Disk has been specified. | C O P Y   C A R S | Press Enter to un/select cars. | Press V to view car at cursor. |"
043a:19c6,05d66,043a:1d13,845,1,310,12,0,,0,"No Play Disk has been specified. | C O P Y   S C E N E R Y | Press Enter to un/select scenery."
043a:1d13,060b3,043a:1d32,31,1,8,0,2,,0,""
043a:1d32,060d2,043a:1e92,352,1,126,8,2,,0,"Play Disk needs both cars and scenery!"
043a:1e92,06232,043a:20ee,604,0,235,11,1,,0,"I N S T A L L   M E N U"
064b:000e,064be,064b:0194,390,1,134,6,3,,0,"hisc.dat"
064b:0194,06644,064b:027f,235,1,86,4,2,,0,"hisc.dat"
064b:027f,0672f,064b:0397,280,1,111,14,1,,0,"rear | logL | You have qualified as one of | THE DUEL: Test Drive II's best drivers. | Enter your name: | Car took too m"
064b:0397,06847,064b:047e,231,1,86,3,1,,0,""
